,songs_names,songs_ids,artists_names,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
16,Furlong Shams,2dvD8sJcHubn9H7JBxxDH6,Bjorkman,0.0885,0.0937,10,-22.906,1,0.0466,0.932,0.82,0.104,0.0335,85.667
17,Beyond The Mind,60CvgWVmBjyX1Xx6zD86Me,Enapay,0.175,0.08,4,-22.214,0,0.0451,0.851,0.917,0.105,0.0374,78.566
18,Lone Star,1bb6MO8FWJ9deNUfLcNybk,Malto Fanier,0.111,0.197,0,-13.954,1,0.0402,0.931,0.957,0.104,0.039,172.025
19,Arriving in the Future,5mlBO8SStnPwBA4rikjbuv,Intentional Vibes,0.227,0.227,7,-22.751,1,0.0428,0.938,0.973,0.1,0.0334,66.287
20,Touch Of Light,0btPgQRq46JCg9Yu3buYWg,Dawn Sankrit,0.197,0.0604,6,-28.698,1,0.0445,0.826,0.854,0.109,0.065,63.521
21,Myriads,5JUL9mfxiKDuBx4H3ZZJAD,12dust,0.256,0.0999,7,-18.736,1,0.0341,0.98,0.849,0.0867,0.0397,101.663
22,Limoges,6Prt67giLGsZm60AjT1dlh,Primer Dia,0.279,0.211,1,-11.543,1,0.0316,0.967,0.928,0.0963,0.0384,132.424
23,Deep Thoughts,3FVd5GGOeJFvU97JFH7jMH,Danny Shamoun,0.136,0.186,7,-20.157,0,0.0327,0.94,0.959,0.156,0.0368,74.995
24,Hills Of Clarity,3HvwuHV9xd0VGi0GncXgoL,Elevated Minds,0.256,0.045,8,-28.088,1,0.0449,0.885,0.851,0.088,0.101,70.418
25,Rainy Clouds,10zmtHvaMOZKQrdTsvRJyP,John Ocean,0.127,0.136,8,-19.946,1,0.0445,0.954,0.932,0.108,0.0368,81.163
26,Rest Repair,1XBRmzrGn8tZxPYmGb2CXa,Michel LeBond,0.189,0.0992,10,-23.953,1,0.0407,0.989,0.853,0.114,0.0365,70.944
27,Heavenly Walk,7N38FhlGOzPZ8AAnQjAMpU,Minisol,0.275,0.18,9,-15.585,0,0.0395,0.94,0.925,0.0928,0.0752,175.267
28,Reversed Stress,36LvimjTIyWaVS1CejsRL9,Minonna,0.212,0.0678,2,-20.069,1,0.0399,0.976,0.934,0.11,0.0392,139.474
29,Healing,3GNlFyD9YUqLJy2u7W8h2M,Dawn Sankrit,0.159,0.0578,1,-25.511,1,0.0425,0.87,0.765,0.111,0.112,70.358
30,Rising,0VV45CwyCH6IUkrckbVbNd,Wellness Portal,0.17,0.00388,1,-22.555,1,0.0455,0.956,0.739,0.104,0.0588,71.221
31,Surrounded,3bl88Ud8z2uuG72gS900Yy,atm0,0.326,0.0475,0,-30.088,0,0.0502,0.988,0.945,0.111,0.137,63.859
32,A Tidy Series,5tsQhyjJMfW3SQxvRYbisr,Sigh and Release,0.156,0.0316,6,-28.77,1,0.045,0.988,0.965,0.104,0.0283,136.526
33,The Shore,7BCmEyju8nsLtkC7EZS5sR,Calil,0.165,0.0435,0,-32.837,1,0.0439,0.928,0.947,0.0967,0.0353,72.642
34,True Awakening,0s7Qc2ytTasqhqjA9K2U2S,Empty Space,0.142,0.154,9,-18.59,1,0.0406,0.926,0.937,0.0933,0.0356,141.32
35,"Too Little, Too Late",60njXUm0SXrDbCEsk0rlMB,Waves of Life,0.118,0.104,7,-20.925,1,0.0527,0.985,0.792,0.0899,0.0379,75.838
36,Wandering,3DSmKmCgRH7vSmdZXBbH4P,Jars Of Bees,0.215,0.128,0,-19.407,1,0.0409,0.721,0.941,0.0862,0.0829,139.983
37,Unwind,70R0IznDPoBZsH6dAXzUOJ,Juan Manuel Nigretti,0.0816,0.121,4,-19.095,0,0.0413,0.915,0.789,0.112,0.052,82.909
38,The Sun Has Risen - Instrumental,1yUMnQ7kDd874TaPn924Lo,"Abe Hathot,Firas Roby",0.127,0.062,7,-28.235,1,0.0357,0.875,0.956,0.647,0.0399,85.31
39,Tum Somnum,5a02D8HngkNPXN7D30qxBQ,Bonum Somno,0.0975,0.0434,8,-27.878,1,0.0392,0.993,0.931,0.131,0.106,68.151
40,Halcyon Spirits,76IpsCUVJAHvFfwI9Y0Pa9,Asabea Wheeler,0.101,0.0606,7,-30.691,0,0.0436,0.924,0.972,0.105,0.0344,83.234
41,Chuska,6rvltM3hjcZ9JPlNsZ0v6D,Morongo,0.162,0.148,9,-20.998,1,0.0357,0.926,0.948,0.0921,0.0365,103.907
42,Dreams in the Wind,4D0uy3JWqfanEiYfYK6lcq,Sal Lastra,0.174,0.138,0,-21.229,1,0.037,0.906,0.414,0.111,0.0393,82.149
43,He Needs Help,39hBYtqNwwl7v0gynAWyZj,David Wingo,0.141,0.0449,0,-26.108,1,0.0364,0.949,0.961,0.0872,0.0377,67.461
44,Divine,49WYvbLAlLn9e663fBmCUl,Tejal Yann,0.176,0.134,10,-23.973,1,0.0405,0.959,0.977,0.0995,0.0546,86.705
45,Purple Sunrise,6DkUtEi0XgqV8LmnbDVpna,IFEELU,0.349,0.127,8,-20.43,1,0.0401,0.945,0.834,0.106,0.0574,67.981
46,Ballerina - Ambient Version,6OoZfXgh8Y6V869KQMVY4e,William Keats,0.444,0.058,2,-22.731,1,0.0367,0.76,0.882,0.117,0.132,140.059
47,Lonley Sea,2C0yGv2SPRTfb0O6FMIEb5,Casiamty,0.274,0.154,2,-14.744,0,0.0417,0.971,0.93,0.109,0.043,130.364
48,Before Sinking,05AuLszwgKMdiV9TQ7Y5zi,Alaskan Tapes,0.157,0.0267,1,-28.212,1,0.0423,0.952,0.838,0.104,0.037,107.068
49,All Rivers,5bw8YBybhZA37RZKjZ2voM,Static Garden,0.298,0.204,9,-23.391,0,0.0338,0.971,0.899,0.116,0.163,77.491
50,Adrift in Time,41GSq7PxoKXyXNsYNRDSkT,Christos Konstantinidis,0.345,0.0574,7,-22.112,1,0.0366,0.872,0.862,0.112,0.052,116.54
51,Reasons For Being,5tY0sWgi6v0UEibwYjfWlL,Deep Watch,0.141,0.0282,7,-30.003,0,0.0454,0.98,0.906,0.104,0.0658,145.22
52,Elixir,3qdcjaWIyUvivaO5lcpe0J,Leyenda,0.188,0.183,0,-21.497,1,0.039,0.842,0.829,0.0888,0.039,84.593
53,These Steady Hands,3IIJBXhYKDDRk5UAaSSacY,Yonder Dale,0.349,0.294,2,-16.478,1,0.0326,0.825,0.894,0.107,0.389,67.995
54,Beyond Peaceful,0PTqmbNYUtVviUHSVpcHhF,Don Eylert,0.34,0.0843,2,-13.603,1,0.0337,0.848,0.614,0.14,0.161,83.618
55,Suaimhneas,7q9ehvNtDAyhFFD7w9L4yo,Ceilidh,0.217,0.141,11,-19.913,0,0.0369,0.968,0.835,0.111,0.0732,117.029
56,Pathways,67hrn4W0iAgUWwkVpmplTW,Chime Dolma,0.163,0.0273,3,-25.694,1,0.0444,0.905,0.974,0.112,0.0698,129.981
57,Falling Stars,6nx6oC4HgnZOxC4dgsPiIU,Delle Alpi,0.261,0.0257,1,-25.711,1,0.0406,0.956,0.878,0.111,0.0795,72.323
58,Essence,1sab9eLTbZCDOHxFAnO00e,Calma,0.207,0.17,0,-21.361,1,0.0393,0.964,0.955,0.124,0.0359,93.356
59,Moment of Clarity,1h7XRTgZYY0TYDjYDnLfju,Light Bin,0.18,0.18,1,-22.439,1,0.0324,0.917,0.94,0.112,0.0713,64.105
60,Soul Blanket,44McOkwrQvgCzDxd5NZV6a,Sofia's Choice,0.573,0.19,1,-8.549,0,0.0425,0.408,0.85,0.131,0.0391,180.048
61,Semblance of Reality,35i1Xb0oSslrXF1KT51IdK,Spheres,0.0611,0.144,7,-20.203,0,0.0499,0.661,0.897,0.112,0.0352,66.586
62,Floating,4BoKls3fZWdNJLgpoG8xcM,Seismic Shift,0.151,0.224,4,-17.596,1,0.0415,0.981,0.971,0.114,0.0362,69.421
63,Empty Spaces,02hFekfpXLbeoBIdCEgbBc,Everything Will Rust,0.193,0.0274,5,-31.528,1,0.0408,0.538,0.816,0.119,0.0472,79.823
64,Illuminous,4BF3edqOaAcQiavsuigQq9,Bliss Phenomena,0.203,0.0247,2,-27.602,1,0.0367,0.958,0.798,0.0759,0.0398,76.907
65,Atmos Eleven,0RIJAaogvQkeFuZVPhYlma,Atmos 11,0.174,0.00449,6,-37.192,1,0.0387,0.99,0.934,0.0848,0.0581,67.42
66,Rosemary,2RFKUV4kldNDEYE3RkNtpE,12dust,0.324,0.0413,9,-21.597,0,0.035,0.882,0.815,0.107,0.0315,97.902
67,Path of Light,0AXQFmU88hVhan5teKTPl5,Moments of Clarity,0.0657,0.0739,3,-20.907,0,0.0454,0.992,0.934,0.119,0.0358,57.31
68,...There You Are!,37bWNUTzhM1DvYyOEXY0rC,Intentional Vibes,0.0797,0.032,5,-28.533,1,0.0464,0.968,0.977,0.364,0.0715,62.399
69,Yoga Depth,32HG8Lvryuz8NCQQW0YO46,Elevie J,0.203,0.0278,10,-28.265,1,0.0462,0.933,0.877,0.0983,0.0375,141.46
70,Shimmer,2R0jJNaZzXUklvrjpbRS66,Spirit Minds,0.145,0.0861,3,-25.962,1,0.0494,0.78,0.681,0.111,0.0365,77.576
71,New Beginning,2LCJEUpAFLETtWCCcA4VKv,The Tides,0.254,0.333,3,-16.051,1,0.0526,0.884,0.94,0.122,0.0392,137.801
72,Inner Dimension,6xIl1x7mWago7qpDn5tKfA,Light & Sound,0.225,0.215,0,-17.989,1,0.0374,0.918,0.896,0.113,0.0357,69.781
73,Black Iris,3nfo4XNg7pyQLmHppIRANv,Padauk,0.507,0.0645,0,-24.972,1,0.0307,0.955,0.926,0.0898,0.0382,100.983
74,Adumbration,7EOou80jtKNv4t6P5ZYp1h,Adumbration,0.284,0.179,4,-17.185,1,0.0392,0.852,0.941,0.115,0.0357,129.875
75,The Deep Blue,3fPDwXNYVnj3ROLieCtOGR,Clouds of Calm,0.0929,0.0455,0,-24.381,1,0.0469,0.962,0.967,0.108,0.0338,165.182
76,Atmosphere,55EbjQa4Th0gmzKQdSnMrw,Tejal Yann,0.193,0.0453,7,-26.219,1,0.0577,0.952,0.961,0.104,0.119,67.675
77,Lost Worlds,5qndjKZTvJBodDiHSPFo55,Crystalsong,0.0845,0.161,8,-21.986,1,0.0484,0.789,0.685,0.0767,0.0339,47.714
78,Minds Traversed,5OxLsoveEfCtK2M3CuqCd7,Spirits Of Our Dreams,0.249,0.408,0,-11.078,1,0.0322,0.916,0.838,0.226,0.052,77.922
79,Time Travel,1aa3A3F6b5FZFtXAhtrybK,Antologie,0.12,0.0585,3,-27.623,1,0.0383,0.696,0.939,0.11,0.0397,78.662
80,Movements of Dimensions,7BQDfK8Emfh80YJuvoGrb4,Everlight,0.082,0.0782,0,-22.579,1,0.0368,0.981,0.926,0.107,0.0369,76.787
81,Letting Go,1S7ulK4PlPK3KvOWrAq0PG,Milo Graves,0.183,0.0225,8,-27.648,1,0.0387,0.9,0.939,0.114,0.0302,70.547
82,Butterfly Traces,2IrPTNvYOoR92JZoNz79N2,Sight of Wonders,0.453,0.187,2,-15.713,1,0.0292,0.976,0.934,0.0709,0.189,72.011
83,Bird of Passage,4BSKw235eGI3usi9hVXv1n,Jakob Ahlbom,0.258,0.179,7,-19.503,1,0.0392,0.937,0.975,0.202,0.0392,125.865
84,Giant,1skdG0IokRBAJGHylNqMck,Oliver Évilo,0.223,0.00293,10,-40.279,1,0.04,0.987,0.938,0.0948,0.375,59.193
85,Conscious Jorney,5huIzPcRJkbL7UyyzViQPU,Benny Bernstein,0.243,0.123,8,-20.642,1,0.0421,0.976,0.879,0.176,0.0501,111.435
86,Spirituality,2kYSO6JCH0Nboi3QSOWhBe,Waht Poo,0.211,0.0325,3,-21.59,0,0.0337,0.973,0.907,0.103,0.0486,160.992
87,Teary,4LEdXdGFciWWUD8vPfDGR3,Ella Drake,0.258,0.13,10,-23.926,0,0.0313,0.929,0.926,0.0834,0.0571,86.884
88,Slumbers,6uqlR64MywWP2zE0Dj5PlA,La Torre Infinita,0.182,0.114,0,-19.215,1,0.0348,0.974,0.964,0.205,0.18,69.665
89,Lullaby,6D5qSFnd0LUEXOi0iiHMXk,Clouds of Calm,0.137,0.0704,9,-23.522,0,0.0417,0.967,0.974,0.072,0.0384,97.291
90,Cosmogyral,4WT82kpk9JXBnyN564LZS4,Szigeti Aliz,0.201,0.00678,6,-30.609,0,0.0356,0.991,0.939,0.1,0.0581,74.852
91,Finistère,0Qp6bdPb0XxwGCW2TDzL9d,xerLK,0.16,0.191,7,-19.722,1,0.037,0.983,0.937,0.108,0.126,82.926
92,Beneath The Mist,2lmMpvoIqZWWFBcKoQ8KSC,Spirits Of Our Dreams,0.0609,0.214,0,-19.414,0,0.038,0.871,0.953,0.103,0.0776,64.521
93,Forest Canvas,0Y67hBf8raOl4JYVvohHR2,Elm Lake,0.0991,0.182,0,-18.133,1,0.0327,0.972,0.945,0.105,0.0428,85.758
94,Little Diamond,4M262QSLVozYRsirsA2kLz,Mylo Rivers,0.355,0.0574,9,-24.443,0,0.0354,0.911,0.857,0.121,0.0388,69.955
95,Frozen Grasslands,2QN55dmp583TNohDVITyfz,Cora Zea,0.219,0.273,2,-17.448,1,0.0312,0.906,0.962,0.109,0.0394,79.609
96,Threads,30VnmNoXmeNMlDR6MxLP5U,Ebb & Flod,0.12,0.0436,4,-22.044,1,0.0383,0.79,0.889,0.112,0.0361,72.339
97,Spaces,3ihG28Sd7TNFsUQ7pu7f7P,Gus Cleese,0.142,0.0435,0,-24.7,1,0.0384,0.901,0.78,0.107,0.0348,141.552
98,Marola,4QPXwM90DJW5eQXTsfLKPc,Sleep Safari,0.149,0.0707,0,-26.234,1,0.0372,0.906,0.83,0.132,0.0364,75.949
99,Mantric Melody,5GkkUUYaDllU29bE9OKkLI,Havanna Chandri,0.235,0.0463,1,-25.388,1,0.0432,0.989,0.874,0.109,0.0369,64.552
100,Gentle Serenity,4amhCY18OuVRix7E1vUZJb,Perfect Shapes,0.381,0.169,7,-15.747,1,0.0326,0.836,0.847,0.0929,0.0734,111.741
101,Fruition,4Rs5E29EmJEFKrjAMnMgQS,Milo Graves,0.125,0.186,2,-17.557,1,0.0389,0.983,0.962,0.345,0.0328,81.124
102,Quiet Nights,0Xn2rEgAEJ82XKXLttBNEv,The Only Star In The Sky,0.479,0.00601,0,-36.032,1,0.038,0.924,0.938,0.348,0.245,130.037
103,New Endings,2IAZza3wdiTYT8QtO0hbLv,Bon Vie,0.226,0.0315,0,-27.615,1,0.034,0.989,0.964,0.124,0.0381,91.988
104,Escape Gravity,0yyWxyeHt09K786RjTs6KH,Juni Tinley,0.15,0.0586,3,-28.755,1,0.0443,0.857,0.833,0.128,0.0357,137.555
105,Calming Down,30kmgRQJxOJM8JmhLCTF33,Johann Eder,0.178,0.0728,9,-23.422,0,0.0386,0.929,0.79,0.105,0.0389,79.653
106,Bio-Adoptions,0bnRIsBDDT2GyEozHCOcie,Binary One,0.144,0.0418,0,-26.223,1,0.038,0.976,0.957,0.108,0.0754,139.441
107,Spiritual Awakening,5hD7Ezq0E8nwz7z2xNMlVH,Tejal Yann,0.0624,0.164,5,-22.92,1,0.0374,0.906,0.916,0.111,0.0396,66.259
108,Wake up Rested,3AKj2SIi4Z765IPjXgPnvL,Biqram,0.174,0.0166,3,-30.951,1,0.0676,0.983,0.681,0.109,0.0361,132.125
109,Loving-Kindness,4YQn86jDGtlXovQJT9nwiB,Vimassana,0.0752,0.0176,2,-30.412,0,0.0443,0.787,0.931,0.111,0.0361,177.642
110,दुनिया के सपने,7wKteYGjLxGYGYw45SFCS0,Raku-Nu,0.137,0.0308,5,-30.158,1,0.0411,0.936,0.953,0.126,0.0389,83.557
111,Dream dependence,0rdOvRimwzjyBHdZ0pR2E7,Viclo,0.289,0.0221,2,-27.635,1,0.057,0.996,0.952,0.101,0.0979,137.546
112,Sunday,1Y7nKTuQIt1ZXSGZ6zgwUZ,Dowafu,0.478,0.13,7,-22.364,0,0.028,0.895,0.927,0.204,0.0541,96.862
113,Sharp Feelings,3gW0uBZU7RZBVeBjO0N54n,Regendum,0.216,0.0592,2,-25.562,0,0.039,0.957,0.891,0.0964,0.0564,66.654
114,Scintillans,4zI7J4c58Br1tY10NDyhlR,Zibra Inguzu,0.191,0.0143,2,-27.967,1,0.0431,0.984,0.919,0.111,0.0621,83.961
115,Decision,0AUsg7yWsJKPfDalSDt80e,Eleanor Arroway,0.187,0.113,0,-24.483,0,0.0367,0.926,0.944,0.0926,0.0366,69.671
116,Light As A Feather,6lKhRDUSTdoNrc7BruIDlT,The Oahus,0.206,0.425,2,-15.042,1,0.0425,0.416,0.537,0.0906,0.0369,117.287
117,Transcendence,4E1jg7m6rq4ofqfoKQ16LN,Amber Virena,0.164,0.0105,2,-38.897,0,0.0436,0.945,0.802,0.0992,0.0887,129.503
118,Angel Dust,6SXEIHzo9REiTw88SX18kR,Von Goo,0.291,0.282,10,-12.82,1,0.0466,0.943,0.925,0.121,0.0539,60.872
119,Corridors,66CiuQCGRMNy6sRzsi1Q6j,Mylo Rivers,0.455,0.0868,0,-18.859,1,0.0278,0.896,0.909,0.106,0.0632,80.078
120,Jupiter Sunrise,1tQKUYjY3h950XByYm0ZAf,Oliver Évilo,0.21,0.00385,9,-37.141,0,0.0348,0.992,0.95,0.0738,0.114,107.116
121,Luz y Alma,0NmNoAHu6DA4k5JBdLsWek,Arbol De Vida,0.512,0.0966,2,-24.719,1,0.0334,0.894,0.971,0.11,0.0489,105.132
122,Pacific Bliss,6tJQ2qxNMAk7sPmmXyZWam,Harlan Silverman,0.345,0.0999,8,-27.222,1,0.0292,0.937,0.95,0.117,0.254,73.782
123,Ride The Wave,0q1rGHsLzGNwzwxGrg99ji,The Oahus,0.0684,0.108,2,-19.663,1,0.0348,0.675,0.873,0.119,0.0542,60.002
124,From the Other Side,4bx9Lbbsb2VnHkxwqd3NQ1,Dream Runner,0.186,0.089,2,-27.017,1,0.0377,0.901,0.771,0.0985,0.0906,71.3
125,Two,14MR12RkIvXHeqgaJI0ngI,Binary One,0.166,0.0826,0,-25.741,1,0.0359,0.933,0.882,0.119,0.036,110.304
126,Lakeshore,5NRhAVJrW5o4FK1OKKgbgQ,Wolfgang Snow,0.618,0.116,2,-17.498,1,0.0344,0.476,0.828,0.114,0.131,134.992
127,Offline,6BOEwn9UtUVaZm6EebzRBF,Rand Aldo,0.302,0.194,7,-16.81,1,0.0318,0.315,0.819,0.164,0.0642,74.371
128,Jocelyn,1Vv5St0rzB3054EvkADdQi,Lost Wings,0.241,0.0178,0,-26.071,1,0.0411,0.89,0.867,0.17,0.0284,105.319
129,Acceptance,303e6fTCQ5d3ljcg1TQrkC,Johann Eder,0.236,0.0514,0,-23.695,1,0.0423,0.975,0.813,0.0698,0.0759,74.656
130,Repose,7DwWJ7pMpFV6gok50clx3F,Ebb & Flod,0.305,0.105,6,-17.5,1,0.0338,0.945,0.924,0.0918,0.079,138.146
131,Lost at Sea,13TlLMjvV0pZqBF7DKIs94,The Tides,0.204,0.0808,9,-26.312,1,0.0381,0.99,0.885,0.108,0.0958,130.869
132,Light of The Moon,0TkOLQj4kru49NI1N27pFr,Naturally Recurring,0.14,0.0257,7,-30.579,0,0.0436,0.973,0.919,0.0937,0.0824,78.872
133,Asana,0PA12K55RIqaPLv6WnoQC4,Spirit Minds,0.076,0.0764,2,-26.17,1,0.0436,0.722,0.946,0.103,0.0256,81.02
134,Strength From Inside,3MC9nswECDn5zuqkFQG1sB,Above & Beyond,0.171,0.189,5,-22.379,1,0.037,0.857,0.959,0.169,0.0572,91.047
135,Pegasus,0N08dxkNnilnHjjRhCL9V1,Fleurs de Son,0.214,0.174,1,-18.485,0,0.0348,0.923,0.869,0.112,0.0349,81.495
136,Breathing Star,2TcvA5WlWyZdLMdQrX05LG,Allana Johnson,0.157,0.163,2,-23.56,0,0.0377,0.867,0.888,0.0846,0.104,86.352
137,Sylarna,3qbZGh0o76ZCq2dI32cF9o,Ström,0.0726,0.116,6,-25.31,1,0.0461,0.886,0.877,0.0998,0.0374,65.705
138,Secret Haven,0sk2c1F1WqhnBDFlxefiQM,August D. Valentine,0.238,0.121,11,-22.01,1,0.0399,0.87,0.95,0.102,0.074,135.159
139,Einmanaleika,0UDNLNpADBgN7kAFmbkfOt,Elvar Arngrimsson,0.349,0.0882,7,-18.245,1,0.0506,0.963,0.853,0.0994,0.124,149.592
140,Clouds Part,7ynEnHDa88G4wX0KvtzCxP,Stol Perez,0.447,0.357,7,-14.694,1,0.0287,0.389,0.966,0.109,0.0386,80.015
141,Kulning,66hBtNKN7ofJ4tWy0kSqQ3,Sten Hammarlund,0.438,0.0404,7,-19.643,1,0.042,0.916,0.265,0.212,0.073,124.186
142,Savasana,5OWitBhgqlcQK3xUwibEya,Sintrano,0.236,0.0204,1,-22.687,1,0.037,0.966,0.81,0.149,0.046,86.077
143,Nefelibata,07MRGolhqppoqEWDV5aZhJ,Jeanelle Bolduc,0.231,0.0212,2,-31.979,1,0.0389,0.989,0.865,0.105,0.0931,69.689
144,Eunoia,7qpWLNqJUYQpoNtoZcTDaU,Clyde Boudreaux,0.0721,0.00957,2,-33.425,0,0.0423,0.993,0.968,0.118,0.0428,76.324
145,Campanis,3dKEGve9GLAg0q8REFQpgY,Zibra Inguzu,0.128,0.0706,8,-25.319,1,0.0481,0.993,0.365,0.0746,0.0285,97.535
146,Awakening,5db1SLjPimPV4jc5SkAZ2b,Alex Couture,0.151,0.0973,0,-21.969,1,0.072,0.308,0.883,0.117,0.0328,166.335
147,Enchanted Dreams,1CYtN9f8AgIbQpCbzCnMRq,Antologie,0.167,0.183,10,-20.844,0,0.0472,0.978,0.838,0.11,0.0328,57.257
148,Amygdala,5921nMZXq52f54Jv57BE80,Michel LeBond,0.132,0.0324,8,-23.953,1,0.0352,0.961,0.963,0.103,0.0918,99.138
149,Pads of Redemption,5I3JZ3zvxKQMdp9rEcGkiR,Masala Roo,0.274,0.0417,0,-23.499,0,0.034,0.902,0.903,0.112,0.0613,43.513
150,The Healing Process,23puVz6Rhiq8Wax9KxnZtW,Koh Lantana,0.241,0.0553,3,-23.605,1,0.0336,0.926,0.93,0.108,0.0643,135.859
151,Grateful Minds,1nwYsdWElwCywLZiY3J1g9,Mehdi Teyt & Rehla X,0.369,0.119,0,-17.437,1,0.0405,0.941,0.9,0.104,0.0687,75.007
152,Calm Rivers,6KUSRcBYmNADirGQcEZ2gK,La Reve,0.11,0.0978,3,-26.015,1,0.0455,0.983,0.894,0.105,0.0388,75.573
153,Daylight,5fsPBLoI0fYY48Yql6ThtE,Ghost Of Summer,0.498,0.203,5,-18.024,1,0.036,0.318,0.851,0.0993,0.0761,121.971
154,Back In Time,3DoRDvjKb1CMgF1oyko1GX,Amber Virena,0.236,0.0164,5,-32.58,1,0.0854,0.996,0.869,0.102,0.191,133.171
155,The Art Of Love,7hXKIp3IX3nrvHkq34zbMG,Sahlene Williams,0.188,0.0259,11,-23.169,1,0.0369,0.967,0.957,0.103,0.0625,78.517
156,Owls,42CQUucCi6h2gHB5BQfSbb,Ebb & Flod,0.211,0.053,7,-20.408,1,0.038,0.949,0.915,0.111,0.0363,110.314
157,Avalon,6dy23Jk4fxlwTLxB9o4olF,Leyenda,0.0852,0.195,2,-20.363,1,0.041,0.621,0.865,0.107,0.0382,71.049
158,Morning Rain,6XbDqOFRhuOjKzo4uFbdw2,Mehdi Teyt & Rehla X,0.227,0.145,2,-17.682,1,0.0287,0.926,0.914,0.0956,0.0371,84.562
159,Sunset Drifter,1lAE2xt8FbMqcgQhyzdG6N,Naturally Recurring,0.199,0.0139,8,-34.234,1,0.0403,0.893,0.91,0.0794,0.0374,59.263
160,State of Existence,2ZA0J8gcbUxetOh1R3rzMp,Christos Konstantinidis,0.347,0.0362,9,-19.67,1,0.0347,0.965,0.676,0.118,0.0727,84.736
161,Incubations,1uO9ZJFzDuwQ2XzmHt5TmN,Roland Mercier,0.194,0.0388,2,-28.622,0,0.0421,0.987,0.761,0.104,0.0952,83.457
162,Shaman Dreams,3O9i7hYrsLU99msJcjPOCL,Primer Dia,0.161,0.0792,8,-28.714,1,0.0398,0.819,0.749,0.0971,0.0316,139.613
163,Underbart,0IV0v2RIhevXsu9G0u82iP,The 2 Inversions,0.188,0.139,10,-21.075,1,0.0415,0.985,0.768,0.104,0.0367,101.173
164,The Deepest Well,2PGA57Sy2RDLAnO7azTXUS,Lionheart,0.251,0.0433,1,-16.303,1,0.0412,0.93,0.922,0.0802,0.0754,70.23
165,A Single Gentle Raindrop,0e4rRLeHWI8a8U2SnO0C3u,Rand Aldo,0.139,0.195,5,-23.39,1,0.0399,0.812,0.965,0.113,0.147,78.882
166,Interlude No. 15,4Ysr9NaReZhG9s9CeT2FWX,Gladiolus,0.376,0.0117,0,-29.833,0,0.0487,0.995,0.951,0.107,0.189,68.435
167,Song of the Mountains,5QQayYC3j9fRybo6YoiNmi,John Ocean,0.114,0.186,8,-20.748,0,0.0443,0.981,0.965,0.0664,0.0339,90.722
